season,Ferrari,McLaren,Mercedes-Benz,Honda,Tyrrell,BAR,Brawn GP,Mercedes,Williams,Toleman,Benetton,Renault,Lotus,Alpine,Stewart,Jaguar,Red Bull Racing,Team Lotus,Brabham,Alfa Romeo (Original),Alfa Romeo (Autodelta),Sauber,Alfa Romeo,Jordan,Midland,Spyker,Force India,Racing Point,Aston Martin,Ligier,Prost,BRM,Cooper,Arrows,Footwork,Minardi,Toro Rosso,AlphaTauri,Maserati,Equipe Renault,Toyota,Matra,March,RRC Walker,Frank Williams Racing Cars,Wolf,Shadow,Vanwall,Surtees,Reg Parnell,Hesketh,Gordini,Fittipaldi,Larrousse,Haas F1 Team,Porsche,BMS Scuderia Italia,Centro Sud,BRP,Penske,Rosier,Ensign,ATS (Germany),Connaught,Leyton House,Anglo American Racers,Hill,Jo Bonnier,Osella,Fondmetal,DW Racing Enterprises,Theodore,Zakspeed,AGS,Bob Estes,Onyx,RAM,Super Aguri,Marussia,Manor Racing
2010,396.0,454.0,,,,,,214.0,69.0,,,163.0,,,,,498.0,,,,,44.0,,,,,68.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,375.0,497.0,,,,,,165.0,5.0,,,,73.0,,,,650.0,,,,,44.0,,,,,69.0,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,400.0,378.0,,,,,,142.0,76.0,,,,303.0,,,,460.0,,,,,126.0,,,,,109.0,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,354.0,122.0,,,,,,360.0,5.0,,,,315.0,,,,596.0,,,,,57.0,,,,,77.0,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,213.0,171.0,,,,,,676.0,287.0,,,,10.0,,,,389.0,,,,,,,,,,141.0,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
2015,428.0,27.0,,,,,,703.0,257.0,,,,78.0,,,,187.0,,,,,36.0,,,,,136.0,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,398.0,76.0,,,,,,765.0,138.0,,,8.0,,,,,468.0,,,,,2.0,,,,,173.0,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2017,522.0,30.0,,,,,,668.0,83.0,,,57.0,,,,,368.0,,,,,5.0,,,,,187.0,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018,571.0,62.0,,,,,,655.0,7.0,,,122.0,,,,,419.0,,,,,48.0,,,,,59.0,52.0,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019,498.0,145.0,,,,,,731.0,1.0,,,91.0,,,,,412.0,,,,,,57.0,,,,,73.0,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020,131.0,199.0,,,,,,564.0,,,,179.0,,,,,316.0,,,,,,8.0,,,,,210.0,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021,325.0,278.0,,,,,,603.0,33.0,,,,,158.0,,,585.0,,,,,,13.0,,,,,,82.0,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,346.0,93.0,,,,,,338.0,4.0,,,,,122.0,,,478.0,,,,,,49.0,,,,,,25.0,,,,,,,,,29.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
